,農林水産業,鉱業,製造業,卸売・小売業,サービス業
福岡県,"132,127","14,655","2,643,283","2,516,852","3,913,474"
佐賀県,"74,847","2,480","440,289","245,576","511,013"
長崎県,"107,912","4,212","549,673","477,627","961,932"
熊本県,"160,167","3,795","826,504","605,952","1,166,682"
大分県,"89,508","10,982","878,198","392,709","794,093"
宮崎県,"154,296","2,392","423,892","406,567","751,785"
鹿児島県,"183,207","20,016","670,079","632,874","1,124,774"
沖縄県,"66,355","6,524","171,777","377,677","957,678"
北海道,"706,274","34,150","1,623,999","2,339,208","3,933,204"
青森県,"178,964","11,327","657,297","489,499","863,041"
岩手県,"163,946","4,584","646,856","462,279","780,274"
宮城県,"137,215","2,674","935,809","1,230,569","1,551,300"
秋田県,"118,686","12,217","443,486","382,593","698,271"
山形県,"125,145","4,276","794,361","393,297","678,696"
福島県,"145,409","3,947","1,758,364","653,481","1,337,522"
茨城県,"247,453","8,964","3,525,498","1,016,010","1,969,313"
栃木県,"139,564","17,459","2,535,425","754,301","1,471,680"
群馬県,"103,495","2,545","2,319,272","784,224","1,290,953"
埼玉県,"119,448","6,684","4,034,155","2,257,562","3,576,480"
千葉県,"227,559","20,014","3,480,692","1,872,172","3,709,889"
東京都,"51,304","26,634","6,990,957","20,330,681","19,271,398"
神奈川県,"57,060","3,208","5,801,417","3,123,432","6,432,356"
新潟県,"181,987","86,810","1,687,237","966,408","1,546,309"
富山県,"53,270","7,188","1,214,109","472,698","732,108"
石川県,"49,561","4,771","948,131","565,724","884,878"
福井県,"34,854","2,703","626,194","319,641","574,466"
山梨県,"56,770","3,043","744,371","291,833","589,088"
長野県,"147,801","10,442","2,033,185","685,556","1,438,465"
岐阜県,"79,376","21,712","1,841,858","788,400","1,402,957"
静岡県,"164,487","8,411","5,784,780","1,182,443","2,506,178"
愛知県,"168,364","9,693","9,934,525","4,505,303","5,788,626"
三重県,"91,837","11,010","2,421,070","631,729","1,143,115"
滋賀県,"40,569","2,816","2,257,065","452,354","841,448"
京都府,"42,537","2,604","2,312,311","1,050,962","1,916,780"
大阪府,"38,072","1,873","5,741,994","6,759,031","8,427,316"
兵庫県,"96,146","12,283","4,505,316","1,865,473","3,678,193"
奈良県,"21,219",459,"573,589","339,687","790,619"
和歌山県,"78,389","1,713","977,865","312,138","609,710"
鳥取県,"45,029","1,460","305,466","195,533","360,536"
島根県,"44,629","4,436","277,343","215,964","430,613"
岡山県,"78,455","8,209","2,048,939","795,064","1,313,262"
広島県,"80,430","3,336","2,521,043","1,553,223","2,068,889"
山口県,"53,442","8,058","1,769,059","509,557","966,108"
徳島県,"62,231","1,761","689,930","245,160","514,665"
香川県,"51,265","8,369","741,905","485,432","757,053"
愛媛県,"101,411","5,190","855,884","513,151","925,557"
高知県,"86,867","6,881","190,836","253,457","518,248"
福岡県,"136,750","20,078","2,433,541","2,558,724","3,940,070"
佐賀県,"77,747","3,118","585,325","229,317","511,472"
長崎県,"113,203","4,735","562,730","463,972","966,487"
熊本県,"172,052","4,846","889,983","585,998","1,175,348"
大分県,"91,270","13,630","1,097,794","385,188","794,157"
宮崎県,"156,204","2,573","421,677","394,783","756,808"
鹿児島県,"190,340","21,612","738,259","595,441","1,137,749"
沖縄県,"66,904","7,564","155,317","385,680","967,489"
北海道,"704,353","33,428","1,736,676","2,463,281","3,905,914"
青森県,"183,680","13,858","690,615","505,820","869,671"
岩手県,"160,072","5,979","760,175","494,605","790,038"
宮城県,"115,432","3,128","1,063,811","1,329,424","1,602,606"
秋田県,"116,052","11,936","507,107","397,341","718,916"
山形県,"121,888","4,739","1,019,544","420,211","694,399"
福島県,"139,437","4,814","2,138,461","688,547","1,377,176"
茨城県,"244,270","9,480","3,861,719","1,051,950","2,000,763"
栃木県,"142,680","19,993","2,917,110","766,978","1,467,866"
群馬県,"106,936","3,161","2,622,839","816,514","1,317,328"
